Purchase_Frequency,Average_Order_Value,Anomaly
12,72.26,1
9,178.38,1
15,79.66,1
5,97.06,1
18,126.82,1
10,150.68,1
19,64.6,1
17,43.11,1
12,51.65,1
14,172.18,1
18,156.85,1
11,90.72,1
2,181.51,1
6,143.0,1
2,112.21,1
19,139.27,1
16,23.11,1
1,129.83,1
9,179.24,1
2,74.41,1
4,44.77,1
19,117.7,1
4,93.02,1
2,119.2,1
8,166.58,1
10,123.17,1
4,181.03,1
11,70.12,1
4,82.15,1
4,70.99,1
13,163.5,1
15,43.9,1
9,92.03,1
1,82.54,1
1,83.28,1
3,107.31,1
3,146.82,1
13,63.07,1
7,49.57,1
15,125.83,1
6,159.62,1
19,54.86,1
15,52.28,1
2,52.98,1
13,65.29,1
3,116.54,1
10,129.11,1
11,133.71,1
12,30.34,1
11,186.43,1
13,95.49,1
13,89.82,1
13,21.74,1
9,190.5,1
13,140.36,1
17,115.47,1
19,134.13,1
4,119.62,1
16,83.83,1
17,36.34,1
18,93.71,1
11,42.19,1
11,194.07,1
5,195.1,1
4,135.37,1
10,102.66,1
19,196.52,-1
7,132.8,1
1,88.14,1
3,28.9,1
3,109.4,1
10,141.86,1
19,100.74,1
8,148.14,1
18,121.4,1
13,199.04,1
8,168.16,1
14,172.42,1
7,27.78,1
5,115.55,1
8,172.17,1
10,151.56,1
17,115.93,1
12,67.62,1
11,77.32,1
1,178.97,-1
7,96.7,1
19,38.78,-1
3,23.34,-1
14,38.51,1
9,130.88,1
5,115.39,1
11,165.68,1
10,199.9,-1
8,45.16,1
6,41.99,1
3,137.63,1
7,148.09,1
18,176.83,1
14,170.08,1
3,93.91,1
3,181.1,1
14,146.57,1
4,41.19,1
10,74.29,1
2,89.88,1
10,105.93,1
12,139.8,1
18,32.83,1
6,195.23,1
4,94.13,1
1,39.31,-1
2,81.46,1
15,84.44,1
6,79.07,1
5,65.79,1
8,41.64,1
15,113.26,1
19,146.34,1
4,193.26,1
14,58.17,1
2,124.86,1
2,75.42,1
14,31.04,1
11,132.09,1
6,76.3,1
10,23.07,1
1,112.04,1
5,191.42,1
16,173.89,1
3,102.51,1
3,178.8,1
5,100.97,1
12,76.05,1
18,132.49,1
9,131.61,1
14,42.51,1
4,172.23,1
2,90.37,1
18,87.13,1
13,101.02,1
17,195.97,-1
13,172.49,1
6,146.79,1
13,197.5,1
5,119.46,1
15,53.55,1
10,187.07,1
8,89.05,1
12,66.48,1
18,148.06,1
18,20.37,-1
8,58.12,1
18,93.85,1
19,74.13,1
16,198.97,-1
17,63.75,1
16,60.31,1
11,69.03,1
1,86.95,1
18,152.87,1
10,75.79,1
12,104.68,1
5,108.36,1
4,20.35,-1
14,68.31,1
15,58.54,1
19,35.27,-1
8,187.04,1
11,87.16,1
19,163.55,1
10,40.38,1
6,181.97,1
18,22.21,-1
3,143.34,1
19,110.46,1
4,97.59,1
15,85.87,1
9,174.56,1
12,34.9,1
12,152.45,1
16,48.41,1
6,41.85,1
12,88.96,1
16,118.0,1
3,70.01,1
9,196.92,1
10,50.73,1
5,184.7,1
16,150.85,1
6,181.28,1
2,87.49,1
18,113.97,1
16,71.93,1
6,97.88,1
14,176.69,1
8,35.77,1
6,81.21,1
13,163.73,1
18,20.72,-1
7,180.71,1
7,155.1,1
16,44.02,1
12,112.35,1
9,112.5,1
12,84.92,1
13,77.47,1
9,52.13,1
15,90.28,1
13,106.71,1
18,28.34,1
9,67.61,1
15,165.18,1
14,172.72,1
17,34.73,1
13,62.65,1
11,53.57,1
1,62.21,1
13,111.82,1
10,68.81,1
17,66.28,1
5,177.51,1
1,127.27,1
11,192.04,1
18,94.3,1
7,130.6,1
10,66.8,1
17,102.7,1
7,32.26,1
19,115.29,1
8,45.71,1
13,61.71,1
12,78.19,1
16,60.95,1
1,171.05,1
12,153.78,1
15,104.32,1
19,87.79,1
11,78.83,1
14,191.34,1
1,21.17,-1
8,28.56,1
4,96.42,1
16,84.81,1
12,140.78,1
7,198.83,-1
16,149.11,1
8,104.84,1
10,197.3,1
8,29.33,1
16,109.18,1
7,155.39,1
16,189.85,1
9,163.08,1
6,199.43,-1
13,92.67,1
6,148.93,1
13,125.51,1
13,87.64,1
8,76.12,1
9,199.08,1
6,85.09,1
6,186.71,1
8,175.33,1
1,66.85,1
15,23.38,1
5,97.27,1
4,20.8,-1
17,120.83,1
2,53.26,1
14,175.24,1
9,168.81,1
2,148.06,1
6,86.96,1
11,34.65,1
15,34.33,1
13,157.76,1
12,156.05,1
11,91.35,1
12,53.81,1
6,81.2,1
18,105.02,1
2,63.5,1
9,125.8,1
3,21.88,-1
16,174.21,1
6,21.39,-1
5,136.71,1
4,118.15,1
2,53.23,1
18,114.99,1
2,26.09,-1
1,185.33,-1
15,65.75,1
3,75.54,1
11,192.87,1
13,45.22,1
5,168.43,1
5,107.11,1
7,153.13,1
12,129.83,1
16,175.82,1
7,162.77,1
17,195.24,-1
17,165.55,1
14,123.75,1
9,186.18,1
11,138.15,1
7,54.22,1
13,89.44,1
8,22.27,1
5,166.95,1
7,199.64,-1
19,97.56,1
15,49.12,1
10,185.37,1
4,197.57,-1
7,42.48,1
9,121.3,1
16,62.01,1
6,96.21,1
6,193.5,1
17,149.78,1
2,54.58,1
3,125.04,1
18,49.37,1
5,79.55,1
9,133.56,1
12,69.7,1
7,156.1,1
2,122.74,1
1,78.52,1
2,121.14,1
1,74.95,1
15,46.7,1
10,71.94,1
9,105.28,1
9,53.74,1
15,131.0,1
13,190.04,1
4,107.19,1
13,33.67,1
19,82.11,1
12,119.03,1
2,79.52,1
19,197.97,-1
2,70.76,1
9,20.28,-1
17,132.79,1
6,111.73,1
14,171.25,1
10,37.9,1
13,58.07,1
8,100.28,1
15,190.52,1
4,69.2,1
8,83.08,1
1,174.8,-1
16,100.22,1
18,36.18,1
6,90.09,1
2,128.63,1
1,88.22,1
10,50.95,1
6,93.99,1
12,149.53,1
15,45.65,1
5,181.04,1
19,144.66,1
16,183.69,1
19,87.32,1
16,31.17,1
5,98.92,1
14,59.19,1
4,132.37,1
7,108.59,1
3,140.3,1
5,23.94,1
19,112.2,1
18,186.41,1
17,35.74,1
10,87.09,1
11,27.14,1
15,47.89,1
14,95.14,1
18,190.31,1
13,108.11,1
6,67.4,1
19,88.25,1
14,69.5,1
1,66.75,1
19,126.27,1
13,103.26,1
16,106.09,1
10,92.12,1
6,81.64,1
10,61.86,1
3,145.56,1
1,67.62,1
12,95.98,1
18,38.05,1
8,127.28,1
9,53.02,1
14,76.44,1
18,108.69,1
15,181.63,1
4,80.83,1
3,138.14,1
12,120.36,1
13,47.17,1
1,183.89,-1
13,48.53,1
12,131.68,1
3,63.41,1
13,49.13,1
18,181.86,1
7,94.32,1
15,188.31,1
2,50.59,1
9,117.56,1
6,55.86,1
15,74.65,1
13,92.26,1
13,160.57,1
17,115.71,1
5,33.42,1
19,141.33,1
16,112.98,1
18,130.41,1
2,144.26,1
12,72.9,1
12,34.32,1
19,169.93,1
2,182.86,1
13,86.71,1
16,154.92,1
13,184.99,1
10,154.6,1
19,50.52,1
5,24.48,1
4,113.31,1
14,149.84,1
10,157.31,1
4,108.22,1
13,150.38,1
6,142.34,1
15,80.84,1
11,60.39,1
13,56.9,1
16,136.6,1
17,191.46,1
1,46.26,1
17,160.89,1
18,56.12,1
1,142.57,1
7,146.76,1
8,191.8,1
15,29.36,1
14,198.37,1
9,51.52,1
7,101.43,1
17,73.35,1
6,123.94,1
12,182.36,1
1,60.55,1
1,97.5,1
13,124.8,1
8,23.82,1
4,151.56,1
11,104.32,1
16,107.75,1
9,59.98,1
9,23.61,1
6,163.34,1
15,95.98,1
15,160.21,1
16,81.12,1
7,56.97,1
15,29.65,1
14,96.86,1
18,64.01,1
11,68.4,1
16,49.32,1
7,94.25,1
2,150.62,1
18,70.17,1
12,112.02,1
15,81.05,1
15,167.84,1
19,93.16,1
9,157.38,1
2,22.69,-1
8,71.19,1
12,25.15,1
16,37.26,1
14,49.24,1
8,125.65,1
11,40.82,1
6,169.72,1
9,170.03,1
8,107.61,1
17,115.52,1
8,130.49,1
14,187.5,1
5,126.16,1
5,146.64,1
9,31.33,1
2,28.5,-1
4,22.64,1
8,160.28,1
9,144.59,1
15,44.78,1
11,107.95,1
15,79.26,1
6,145.57,1
12,105.18,1
4,193.12,1
10,176.86,1
9,70.98,1
19,187.05,-1
19,192.09,-1
14,63.65,1
5,44.12,1
6,167.92,1
7,25.18,1
10,179.72,1
8,162.67,1
11,176.44,1
1,165.84,1
3,63.31,1
1,153.74,1
4,168.08,1
11,127.84,1
4,120.16,1
1,40.38,1
13,194.71,1
19,129.69,1
2,101.69,1
16,165.88,1
6,33.99,1
18,186.61,1
9,164.41,1
15,175.31,1
6,164.61,1
6,64.11,1
1,85.49,1
14,148.18,1
17,72.43,1
19,166.98,1
12,53.65,1
12,70.57,1
9,185.4,1
18,152.81,1
17,93.21,1
4,169.65,1
14,95.76,1
17,183.53,1
2,35.2,1
6,81.87,1
19,57.47,1
19,49.9,1
1,71.36,1
4,196.67,1
3,187.74,1
7,170.66,1
14,54.22,1
3,51.61,1
12,37.46,1
11,173.05,1
4,136.92,1
13,120.64,1
17,24.45,1
11,156.09,1
2,189.25,1
8,44.83,1
3,63.73,1
11,140.99,1
7,50.0,1
8,70.48,1
16,156.08,1
10,179.56,1
6,42.96,1
3,77.79,1
15,123.86,1
6,48.06,1
10,193.43,1
16,67.57,1
1,26.32,-1
1,99.11,1
6,47.49,1
8,40.71,1
18,85.3,1
4,136.37,1
5,134.31,1
11,153.34,1
5,52.47,1
3,109.57,1
11,138.98,1
17,55.74,1
1,170.05,1
8,52.44,1
4,92.55,1
4,130.12,1
13,58.35,1
8,55.71,1
16,89.67,1
12,143.3,1
4,111.59,1
8,100.72,1
3,99.11,1
12,126.01,1
1,58.48,1
9,156.4,1
12,72.39,1
13,112.08,1
19,23.38,-1
1,194.0,-1
3,87.57,1
2,34.74,1
2,76.75,1
10,66.39,1
3,61.23,1
11,38.06,1
2,91.87,1
15,89.62,1
10,79.49,1
13,195.67,1
17,178.2,1
1,136.77,1
7,159.21,1
17,48.25,1
4,47.7,1
11,176.29,1
13,61.13,1
8,155.92,1
2,87.27,1
3,194.5,-1
3,173.37,1
15,111.56,1
19,154.19,1
5,125.13,1
4,121.27,1
3,130.78,1
17,114.81,1
9,189.67,1
15,27.08,1
1,193.19,-1
9,188.12,1
9,184.08,1
12,55.14,1
8,66.79,1
14,65.29,1
9,64.93,1
11,159.02,1
13,87.28,1
8,195.25,1
5,192.34,1
13,93.73,1
15,28.49,1
9,133.39,1
14,91.83,1
18,145.76,1
12,66.46,1
14,30.49,1
19,20.19,-1
9,33.93,1
6,197.38,1
17,159.29,1
18,142.98,1
18,80.06,1
5,117.59,1
4,34.22,1
13,188.79,1
19,121.56,1
5,199.66,-1
6,53.32,1
8,51.87,1
1,160.2,1
17,178.6,1
12,74.04,1
3,63.44,1
12,154.64,1
12,85.83,1
13,174.77,1
14,112.8,1
5,34.97,1
8,191.81,1
9,60.78,1
16,93.05,1
11,131.69,1
17,30.15,1
16,46.37,1
2,165.43,1
17,159.36,1
9,89.39,1
7,129.07,1
15,85.78,1
18,24.28,-1
9,150.9,1
10,38.95,1
13,136.13,1
14,154.29,1
2,130.0,1
11,197.86,1
18,116.15,1
14,85.56,1
15,168.16,1
18,174.32,1
13,82.98,1
1,76.39,1
9,93.65,1
11,167.89,1
19,110.25,1
18,109.2,1
10,159.12,1
5,56.39,1
2,103.09,1
19,179.32,1
17,157.79,1
14,179.12,1
16,167.93,1
9,36.08,1
18,72.11,1
17,103.64,1
12,153.81,1
13,166.6,1
18,84.11,1
18,37.47,1
16,25.37,1
4,100.78,1
10,128.64,1
10,163.9,1
15,90.67,1
5,183.44,1
9,145.55,1
3,151.29,1
14,109.54,1
16,45.37,1
7,48.23,1
15,44.98,1
2,114.58,1
2,38.68,1
4,126.92,1
6,130.39,1
10,122.7,1
19,143.07,1
10,66.06,1
2,158.77,1
1,156.32,1
2,174.58,1
17,125.34,1
3,110.56,1
1,72.18,1
4,158.35,1
18,25.45,1
18,77.15,1
5,29.57,1
15,153.85,1
3,134.42,1
19,129.49,1
19,182.26,1
7,126.42,1
10,88.94,1
10,71.33,1
10,137.12,1
7,101.31,1
8,126.67,1
6,80.55,1
11,72.68,1
4,143.0,1
9,59.12,1
1,93.24,1
17,92.82,1
14,121.09,1
5,168.88,1
9,181.77,1
17,175.95,1
7,72.26,1
7,89.05,1
10,193.52,1
8,66.62,1
14,139.63,1
9,164.48,1
2,167.46,1
14,99.41,1
1,29.46,-1
12,40.51,1
19,166.17,1
1,59.67,1
16,22.92,1
18,166.67,1
2,145.74,1
11,69.7,1
8,39.25,1
18,76.99,1
12,133.74,1
12,72.89,1
5,112.66,1
13,79.11,1
7,39.89,1
4,85.77,1
15,109.13,1
1,129.75,1
11,58.98,1
3,93.99,1
7,63.05,1
2,64.24,1
11,187.04,1
5,33.83,1
1,98.49,1
1,127.8,1
19,118.36,1
8,174.87,1
8,105.45,1
16,155.48,1
1,151.39,1
9,84.51,1
19,54.95,1
3,122.43,1
3,92.04,1
18,45.71,1
15,80.2,1
14,56.72,1
5,196.98,1
8,119.47,1
14,94.69,1
18,122.42,1
2,136.0,1
12,136.95,1
12,172.66,1
2,34.4,1
16,43.8,1
7,179.52,1
2,94.88,1
14,170.65,1
2,196.02,-1
1,39.75,1
16,173.7,1
14,26.57,1
17,46.04,1
1,141.81,1
16,149.66,1
18,74.57,1
3,33.62,1
6,99.49,1
4,76.66,1
15,179.63,1
19,72.53,1
16,106.75,1
18,70.7,1
14,50.13,1
18,95.39,1
13,115.17,1
3,165.04,1
13,71.75,1
1,116.96,1
18,68.44,1
17,55.57,1
10,58.81,1
10,191.48,1
10,163.64,1
1,21.19,-1
6,32.76,1
5,85.92,1
3,196.56,-1
18,81.81,1
7,92.26,1
18,101.65,1
8,21.63,1
16,64.56,1
9,144.21,1
3,26.79,1
6,94.17,1
14,191.05,1
15,162.54,1
6,97.44,1
10,94.73,1
16,156.37,1
16,134.32,1
17,168.22,1
6,109.93,1
8,183.17,1
10,150.16,1
1,91.84,1
14,54.23,1
9,73.37,1
17,105.48,1
17,80.67,1
10,95.96,1
17,53.38,1
8,123.77,1
5,163.24,1
19,29.17,-1
12,27.68,1
9,114.27,1
9,173.88,1
12,86.88,1
14,36.88,1
17,83.59,1
3,46.99,1
8,138.93,1
3,145.95,1
4,188.71,1
10,133.86,1
13,63.35,1
9,147.0,1
12,51.11,1
10,133.96,1
4,175.47,1
14,115.86,1
17,97.72,1
14,90.38,1
15,49.04,1
8,75.11,1
8,44.8,1
9,188.14,1
7,43.14,1
13,67.35,1
9,43.55,1
17,79.76,1
12,120.74,1
12,151.9,1
16,151.01,1
7,107.84,1
13,168.69,1
7,62.29,1
7,84.43,1
14,198.49,1
18,46.02,1
6,40.67,1
1,86.98,1
3,128.56,1
3,38.67,1
18,182.59,1
6,39.21,1
18,155.6,1
2,31.97,-1
19,42.57,1
10,127.05,1
19,23.55,-1
1,176.06,-1
15,145.93,1
12,195.79,1
9,123.49,1
15,89.55,1
18,134.45,1
13,68.75,1
5,87.22,1
2,115.86,1
19,75.27,1
18,54.32,1
15,26.7,1
1,83.91,1
1,42.76,1
8,83.27,1
14,31.07,1
1,146.75,1
19,117.36,1
18,138.69,1
6,116.44,1
3,196.43,-1
10,106.65,1
9,29.0,1
6,103.82,1
6,88.19,1
6,95.53,1
3,138.27,1
5,160.49,1
10,178.79,1
10,175.18,1
19,81.3,1
13,181.28,1
13,109.49,1
13,163.05,1
19,86.63,1
12,174.17,1
2,29.86,-1
12,161.59,1
1,155.0,1
3,161.5,1
18,93.64,1
14,69.4,1
4,63.4,1
16,74.08,1
8,86.34,1
14,94.84,1
1,192.94,-1
19,151.51,1
9,123.84,1
15,114.46,1
3,109.74,1
19,180.5,1
12,84.8,1
8,174.38,1
11,162.05,1
1,154.18,1
5,80.89,1
8,35.58,1
1,187.23,-1
3,76.61,1
13,184.11,1
1,131.65,1
19,193.96,-1
2,118.79,1
10,151.36,1
2,174.96,1
4,53.58,1
16,35.55,1
4,69.25,1
9,27.3,1
13,197.81,1
2,41.52,1
19,81.27,1
1,55.49,1
5,126.22,1
12,124.68,1
7,146.99,1
19,177.94,1
5,147.18,1
15,31.84,1
5,75.65,1
7,45.95,1
4,61.87,1
2,179.7,1
4,69.53,1
13,154.47,1
19,92.22,1
8,172.74,1
11,117.98,1
19,141.35,1
13,94.17,1
3,26.99,1
8,101.99,1
4,103.68,1
15,132.25,1
12,72.28,1
18,147.01,1
3,182.57,1
17,78.22,1
14,189.92,1
19,59.12,1
19,32.0,-1
5,22.39,1
8,144.81,1
14,196.33,1
17,125.87,1
3,57.58,1
9,40.5,1
7,107.66,1
8,96.45,1
10,101.76,1
10,42.53,1
10,24.56,1
11,53.04,1
1,181.26,-1
13,179.92,1
4,36.41,1
8,162.58,1
4,194.98,1
5,133.28,1
17,199.48,-1
12,183.51,1
1,92.78,1
4,194.31,1
12,97.18,1
1,175.1,-1
13,50.24,1
14,62.3,1
6,144.66,1
16,48.27,1
12,146.31,1
13,167.62,1
10,188.57,1
5,170.96,1
4,132.9,1
7,177.9,1
8,190.57,1
14,92.59,1
7,61.34,1
14,199.29,1
8,38.58,1
19,116.72,1
3,172.29,1
1,94.98,1
16,118.3,1
2,78.08,1
14,166.92,1
1,181.85,-1
16,41.47,1
13,115.46,1
16,160.43,1
7,127.32,1
10,174.0,1
1,63.25,1
15,20.01,-1
6,67.51,1
3,183.8,1
3,162.48,1
1,111.91,1
3,118.57,1
9,163.18,1
8,87.03,1
10,175.46,1
10,36.93,1
3,64.51,1
13,190.54,1
11,73.44,1
15,73.06,1
4,97.64,1
4,56.93,1
13,120.85,1
11,115.78,1
15,189.63,1
4,188.0,1
18,26.03,1
1,152.91,1
18,120.25,1
14,105.1,1
14,139.73,1
19,163.36,1
7,137.29,1
11,162.47,1
2,79.18,1
3,182.51,1
16,80.28,1
15,150.54,1
18,120.74,1
16,43.9,1
17,80.2,1
8,124.08,1
4,190.87,1
9,163.46,1
4,96.07,1
1,163.97,1
6,194.89,1
10,115.53,1
16,35.57,1
17,154.6,1
5,105.08,1
3,86.95,1
6,115.6,1
5,60.93,1
19,177.95,1
19,163.29,1
7,90.8,1
17,127.22,1
11,82.77,1
18,97.27,1
12,109.23,1
10,44.37,1
13,88.96,1
8,196.32,1
12,91.58,1
13,34.45,1
9,125.21,1
1,199.18,-1
8,68.69,1
17,67.46,1
16,55.71,1
18,194.25,-1
18,141.7,1
17,30.01,1
16,177.64,1
2,84.69,1
2,177.15,1
6,172.84,1
1,46.37,1
19,73.81,1
14,139.22,1
6,178.14,1
16,194.28,1
12,180.32,1
8,199.32,1
11,35.98,1
8,154.65,1
8,68.41,1
11,120.9,1
19,37.54,-1
9,199.91,1
17,177.8,1
8,182.21,1
9,48.46,1
14,51.67,1
13,48.13,1
13,168.36,1
6,54.39,1
3,88.32,1
14,32.64,1
12,188.62,1
2,143.11,1
10,163.91,1
13,154.77,1
12,133.95,1
11,159.41,1
1,78.49,1
10,34.49,1
15,82.08,1
16,20.23,1
14,178.75,1
13,97.57,1
11,52.11,1
5,164.41,1
16,100.85,1
15,184.58,1
2,123.68,1
8,25.4,1
12,166.27,1
4,44.83,1
18,45.65,1
5,183.63,1
17,44.23,1
16,193.21,1
11,20.32,-1
9,58.98,1
5,147.14,1
18,178.98,1
9,164.66,1
8,135.44,1
11,33.52,1
10,162.53,1
11,136.72,1
12,84.84,1
11,82.67,1
10,54.5,1
12,80.63,1
2,170.23,1
17,139.21,1
12,188.2,1
2,73.4,1
18,38.92,1
16,144.1,1
3,136.16,1
18,188.2,1
12,100.21,1
6,165.79,1
18,191.76,1
8,141.05,1
19,85.22,1
10,115.97,1
11,58.58,1
5,109.55,1
4,126.86,1
2,137.88,1
9,94.83,1
7,28.46,1
16,145.93,1
17,167.4,1
18,111.08,1
2,160.13,1
7,108.4,1
13,27.51,1
7,166.65,1
19,110.39,1
13,98.19,1
5,152.4,1
2,31.34,-1
10,32.11,1
14,56.57,1
7,23.73,1
4,116.31,1
19,98.03,1
2,58.38,1
1,39.36,-1
13,177.38,1
16,169.37,1
15,154.81,1
11,172.22,1
6,34.46,1
15,20.14,-1
9,59.76,1
15,169.39,1
14,64.56,1
13,197.62,1
12,160.73,1
13,72.16,1
19,181.02,1
16,128.98,1
15,198.65,1
9,171.5,1
16,141.37,1
10,84.45,1
15,93.49,1
10,152.53,1
3,132.52,1
9,87.03,1
16,160.28,1
13,150.45,1
5,31.68,1
3,24.55,-1
18,159.12,1
16,112.9,1
15,115.68,1
9,183.39,1
18,198.89,-1
5,110.76,1
14,106.7,1
11,162.44,1
2,124.73,1
2,80.65,1
14,130.33,1
6,58.04,1
1,116.24,1
19,34.39,-1
17,33.63,1
10,96.19,1
11,166.67,1
14,54.75,1
17,37.23,1
7,161.09,1
19,56.9,1
16,112.73,1
11,186.88,1
8,80.79,1
9,159.72,1
17,47.39,1
15,76.78,1
1,79.53,1
11,145.2,1
5,175.83,1
17,67.51,1
16,115.6,1
9,104.17,1
3,36.23,1
3,136.43,1
6,103.86,1
6,174.09,1
15,186.94,1
4,138.87,1
17,59.32,1
1,160.13,1
12,67.48,1
1,152.99,1
16,32.87,1
2,154.02,1
1,103.18,1
13,42.92,1
17,38.47,1
1,68.8,1
6,159.27,1
16,56.8,1
8,124.11,1
13,170.95,1
17,43.57,1
6,160.12,1
1,103.29,1
16,66.4,1
7,112.57,1
7,123.11,1
8,94.62,1
6,76.05,1
18,140.34,1
2,188.99,1
1,172.38,1
11,85.43,1
12,104.55,1
5,74.37,1
10,48.75,1
14,107.36,1
2,50.49,1
1,74.68,1
13,166.55,1
18,183.76,1
3,33.84,1
6,132.77,1
14,72.64,1
19,171.2,1
15,171.93,1
5,131.63,1
1,155.68,1
10,58.95,1
9,119.08,1
15,161.84,1
11,183.72,1
1,169.99,1
9,178.78,1
12,140.78,1
5,131.09,1
5,170.89,1
16,135.56,1
12,182.63,1
14,70.49,1
8,173.21,1
4,75.08,1
14,119.56,1
5,94.01,1
11,49.01,1
9,110.41,1
11,187.38,1
9,73.18,1
15,144.0,1
18,119.16,1
18,99.54,1
16,86.8,1
2,35.16,1
10,111.96,1
15,109.25,1
18,77.76,1
7,135.55,1
9,148.55,1
11,108.62,1
1,159.92,1
6,125.16,1
14,66.25,1
5,120.29,1
7,166.65,1
6,21.07,-1
11,89.11,1
17,95.58,1
15,79.54,1
3,23.42,-1
2,72.5,1
5,100.92,1
8,33.37,1
3,128.88,1
1,123.72,1
14,129.2,1
14,40.1,1
19,86.28,1
18,100.9,1
1,61.2,1
14,70.03,1
16,148.44,1
8,69.55,1
14,196.52,1
13,119.55,1
19,139.69,1
19,23.93,-1
15,199.62,1
12,193.61,1
11,76.79,1
9,103.48,1
13,116.9,1
19,168.24,1
1,100.08,1
15,109.92,1
19,129.19,1
3,51.82,1
4,169.75,1
15,20.65,-1
15,189.86,1
11,149.69,1
3,91.26,1
12,69.5,1
14,46.34,1
10,52.31,1
6,161.75,1
16,193.3,1
19,28.96,-1
17,78.6,1
7,156.34,1
6,191.08,1
15,164.56,1
14,162.91,1
13,129.43,1
7,118.73,1
3,111.2,1
10,22.3,1
8,142.37,1
6,121.9,1
18,102.05,1
12,107.8,1
12,74.03,1
18,77.64,1
16,28.23,1
2,67.55,1
17,73.25,1
1,45.02,1
10,132.73,1
5,106.92,1
17,134.49,1
9,40.87,1
14,182.36,1
17,193.82,1
14,170.18,1
7,170.55,1
17,167.76,1
11,75.34,1
10,90.92,1
12,28.01,1
4,154.25,1
6,137.32,1
10,76.06,1
6,54.6,1
14,56.37,1
17,139.53,1
17,187.66,1
19,106.97,1
17,105.98,1
17,93.22,1
14,33.63,1
7,43.47,1
2,178.8,1
17,70.73,1
7,189.89,1
7,194.93,1
7,69.57,1
3,126.35,1
5,101.2,1
11,21.22,-1
8,190.32,1
11,85.08,1
10,94.05,1
8,153.47,1
18,115.45,1
17,109.48,1
2,74.21,1
3,84.54,1
7,121.55,1
19,134.85,1
16,116.01,1
15,148.34,1
8,165.64,1
17,131.99,1
9,168.25,1
13,176.03,1
8,67.87,1
10,67.34,1
3,70.19,1
11,40.1,1
10,53.96,1
6,80.27,1
2,108.44,1
14,150.67,1
14,90.92,1
2,180.14,1
12,117.48,1
3,50.46,1
9,81.44,1
13,143.6,1
13,46.11,1
18,30.41,1
1,114.4,1
11,172.34,1
19,96.29,1
13,126.03,1
9,169.88,1
2,35.89,1
3,136.68,1
18,81.16,1
1,23.62,-1
17,21.19,-1
9,113.7,1
19,161.8,1
9,131.33,1
7,63.51,1
9,97.34,1
19,190.17,-1
18,86.02,1
9,67.75,1
1,143.81,1
7,79.37,1
16,94.21,1
1,181.8,-1
1,173.75,-1
16,40.32,1
10,169.96,1
3,70.99,1
11,91.47,1
13,30.91,1
14,161.76,1
5,110.77,1
2,140.39,1
4,198.52,-1
5,164.17,1
13,106.08,1
14,185.05,1
3,148.4,1
15,47.73,1
9,105.38,1
19,98.64,1
19,22.21,-1
13,53.92,1
10,195.28,1
5,122.12,1
11,75.77,1
9,61.51,1
6,107.14,1
13,106.61,1
15,22.33,1
8,83.93,1
5,181.26,1
13,85.65,1
17,33.3,1
12,130.47,1
9,60.86,1
18,70.13,1
11,122.07,1
16,47.92,1
1,197.45,-1
18,137.68,1
14,94.78,1
16,199.86,-1
4,153.59,1
7,183.97,1
13,118.26,1
3,100.98,1
9,155.48,1
9,154.05,1
9,110.7,1
16,196.13,1
14,185.94,1
2,103.17,1
5,181.34,1
19,73.64,1
3,24.19,-1
3,42.23,1
10,131.76,1
13,129.2,1
8,29.66,1
9,148.76,1
6,192.94,1
18,64.69,1
17,175.77,1
17,57.09,1
13,120.6,1
7,103.58,1
5,36.68,1
7,22.61,1
13,94.68,1
9,83.31,1
3,107.91,1
5,144.85,1
5,113.91,1
13,84.78,1
18,185.44,1
14,126.46,1
10,77.12,1
5,122.16,1
3,157.38,1
17,136.45,1
18,132.63,1
6,60.56,1
12,47.33,1
15,52.87,1
9,32.26,1
9,136.3,1
19,170.49,1
2,35.43,1
6,134.75,1
11,180.22,1
11,171.16,1
12,103.66,1
12,112.86,1
12,122.14,1
16,177.77,1
6,45.54,1
2,27.57,-1
9,154.29,1
2,159.18,1
18,176.6,1
5,27.14,1
3,163.32,1
1,178.79,-1
2,92.28,1
8,116.84,1
4,193.83,1
19,54.97,1
8,65.78,1
2,146.01,1
7,67.56,1
14,183.0,1
8,40.43,1
13,139.25,1
19,147.03,1
15,183.34,1
3,170.93,1
12,78.38,1
14,58.21,1
10,94.82,1
16,53.08,1
1,176.29,-1
15,140.45,1
8,40.51,1
11,77.86,1
9,196.07,1
18,76.68,1
12,192.17,1
16,187.42,1
6,84.61,1
17,40.01,1
12,77.99,1
14,67.05,1
8,116.93,1
12,195.26,1
11,184.43,1
12,175.33,1
8,193.73,1
5,96.53,1
12,125.57,1
11,104.78,1
7,105.82,1
2,130.31,1
4,143.07,1
3,109.73,1
3,72.68,1
19,31.81,-1
6,69.37,1
1,110.1,1
3,197.75,-1
14,71.32,1
8,140.41,1
19,141.9,1
16,27.95,1
9,123.83,1
2,70.1,1
14,35.98,1
3,171.57,1
18,108.72,1
12,21.16,-1
2,135.66,1
1,159.5,1
12,108.83,1
5,144.81,1
1,109.38,1
3,99.43,1
12,134.41,1
15,59.67,1
11,52.0,1
13,113.24,1
10,177.14,1
1,91.97,1
19,118.1,1
14,181.03,1
7,84.74,1
14,47.4,1
3,105.61,1
6,24.1,1
18,57.46,1
8,144.43,1
10,46.9,1
9,89.32,1
12,23.21,1
15,57.26,1
9,56.28,1
4,26.75,1
